t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,18.73064508,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,1.020680609,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,170.992462618,117.148076562,39.65379082,77.4942857524,37.3133275936,0.72963418731,-0.000305403692244,1,5.1276304229,1.074159321,0,0.992100509064,0.0235173021514,0.01590638194752,0.04557130392,0,0.01420294487,0.03398473862,0.032888795873,0.0827696536652,-6.938893904e-17,3.13957833216,0.338496664798,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,165.78055711,212.035615494,53.6098730404,158.425742446,62.0749105126,1.41072819026,-0.00304043051232,1,0.809987671302,0.35194824849,1.04437898852,0.663612272748,0.0524365069722,0.0505788654516,0.090983759003,0.0002953030011,0.04405869869,0.1030047459,0.0682103743332,0.111774390406,6.938893904e-17,3.41580586296,0.252841118682,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,170.540769966,256.958087272,62.9065517264,194.051535544,75.300467893,1.87904594958,0.001324494113264,1,0.211874412066,0.173413589528,0.22489531006,0.213058112672,0.0612458768982,0.0812864489252,0.11808591055,0.000510275660184,0.0820529954234,0.200709946588,0.0864913405478,0.133290181856,-6.938893904e-17,3.41244370246,0.244821867,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,172.350196306,302.466254598,66.5193289316,235.946925672,97.1584115534,2.29073712176,0.0191787795444,1,0.177115959332,0.0574307584126,0.21592213273,0.290275503578,0.0718613891156,0.1234968857632,0.14503469048,0.000657014558302,0.139159231742,0.295231095244,0.10488235444,0.139951557456,6.938893904e-17,3.11314686024,0.219933156536,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,169.727247824,353.589946424,72.1350543356,281.454892092,116.945540466,2.6323372093,0.0121542748008,1,0.169052768326,0.08442123346,0.192925356936,0.203654909682,0.0869988986846,0.159947676942,0.168091855614,0.000729713694612,0.19320857829,0.347592486008,0.124847232598,0.153196381334,-6.938893904e-17,3.02362851204,0.20407022856,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
7,165.72542039,408.881233852,80.0807936348,328.80044022,133.644339056,3.17252267244,0.014848491389,1,0.156701219484,0.110148201018,0.168746752024,0.1427933196236,0.0965818536544,0.187442755434,0.212515289772,0.000434410693462,0.2409321358,0.366075557008,0.148951323054,0.171656351456,6.938893904e-17,3.06239924498,0.195863413832,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
8,174.342227424,472.362094128,79.79598607,392.566108064,150.916605692,3.89409968474,0.0160869309184,1,0.155270751874,-0.003524119547544,0.193957301886,0.129360417888,0.114209104752,0.231566042596,0.245127159426,0.00021943803442,0.294728618948,0.357378058232,0.17677559368,0.170728736916,-6.938893904e-17,3.1355547585,0.168937781362,0,0,0.0163030420428,0,0.98369695794,0.0025,0.00125,0.005,0.0075
9,170.048530504,525.169240066,79.121972598,446.04726748,173.413731708,4.46753959652,0.000263757917104,1,0.1118102298452,-0.00844385349834,0.13625930755,0.1486983049406,0.125921045634,0.252326354798,0.28482216325,7.26991363018e-05,0.327659505088,0.353608461252,0.199572277508,0.1698266223,6.938893904e-17,3.03842597408,0.15067680498,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
10,170.687435,540.403717372,78.569691664,461.834025704,187.985131662,4.7061682647,0.0035447198988788,1,0.02902453907,-0.00698120183588,0.035415676823,0.0840707503444,0.124864998138,0.241827531076,0.271703355826,0,0.348936798448,0.356355310042,0.19448112828,0.169611381218,-6.938893904e-17,2.8866840335,0.145413633682,0,0,0,0.011525473549,0.988474526444,0.0025,0.00125,0.005,0.0075
11,170.52178682,559.601007132,78.3619795548,481.239027576,198.23383836,4.88144682336,0.01069607633642,1,0.03555185802678,-0.00264268296061,0.0420588771716,0.05558177938524,0.160921237538,0.22816736371,0.257464029068,0,0.360744963048,0.357082433222,0.206434177476,0.16875926629,6.938893904e-17,2.83127386188,0.140057868832,0,0,0,0.0047315586034,0.995268441392,0.0025,0.00125,0.005,0.0075
